,Date,Country,Death Confirmed,Outbreak Case,Year,Month
97,2014-10-29,Guinea,997.0,1906.0,2014,10
98,2014-10-29,Liberia,2413.0,6535.0,2014,10
99,2014-10-29,Mali,1.0,1.0,2014,10
100,2014-10-29,Nigeria,8.0,20.0,2014,10
101,2014-10-29,Senegal,0.0,1.0,2014,10
102,2014-10-29,Sierra Leone,1500.0,5235.0,2014,10
103,2014-10-29,Spain,0.0,1.0,2014,10
104,2014-10-29,United States of America,1.0,4.0,2014,10
105,2014-10-31,Guinea,1018.0,1667.0,2014,10
106,2014-10-31,Liberia,2413.0,6535.0,2014,10
107,2014-10-31,Mali,1.0,1.0,2014,10
108,2014-10-31,Nigeria,8.0,20.0,2014,10
109,2014-10-31,Senegal,0.0,1.0,2014,10
110,2014-10-31,Sierra Leone,1510.0,5338.0,2014,10
111,2014-10-31,Spain,0.0,1.0,2014,10
112,2014-10-31,United States of America,1.0,4.0,2014,10
113,2014-11-05,Guinea,1041.0,1731.0,2014,11
114,2014-11-05,Liberia,2697.0,6525.0,2014,11
115,2014-11-05,Mali,1.0,1.0,2014,11
116,2014-11-05,Nigeria,8.0,20.0,2014,11
117,2014-11-05,Senegal,0.0,1.0,2014,11
118,2014-11-05,Sierra Leone,1070.0,4759.0,2014,11
119,2014-11-05,Spain,0.0,1.0,2014,11
120,2014-11-05,United States of America,1.0,4.0,2014,11
121,2014-11-07,Guinea,1054.0,1760.0,2014,11
122,2014-11-07,Liberia,2766.0,6619.0,2014,11
123,2014-11-07,Mali,1.0,1.0,2014,11
124,2014-11-07,Nigeria,8.0,20.0,2014,11
125,2014-11-07,Senegal,0.0,1.0,2014,11
126,2014-11-07,Sierra Leone,1130.0,4862.0,2014,11
127,2014-11-07,Spain,0.0,1.0,2014,11
128,2014-11-07,United States of America,1.0,4.0,2014,11
129,2014-11-12,Guinea,1142.0,1878.0,2014,11
130,2014-11-12,Liberia,2836.0,6822.0,2014,11
131,2014-11-12,Mali,4.0,4.0,2014,11
132,2014-11-12,Nigeria,8.0,20.0,2014,11
133,2014-11-12,Senegal,0.0,1.0,2014,11
134,2014-11-12,Sierra Leone,1169.0,5368.0,2014,11
135,2014-11-12,Spain,0.0,1.0,2014,11
136,2014-11-12,United States of America,1.0,4.0,2014,11
137,2014-11-14,Guinea,1166.0,1919.0,2014,11
138,2014-11-14,Liberia,2812.0,6878.0,2014,11
139,2014-11-14,Mali,3.0,4.0,2014,11
140,2014-11-14,Nigeria,8.0,20.0,2014,11
141,2014-11-14,Senegal,0.0,1.0,2014,11
142,2014-11-14,Sierra Leone,1187.0,5586.0,2014,11
143,2014-11-14,Spain,0.0,1.0,2014,11
144,2014-11-14,United States of America,1.0,4.0,2014,11
145,2014-11-19,Guinea,1192.0,1971.0,2014,11
146,2014-11-19,Liberia,2964.0,7069.0,2014,11
147,2014-11-19,Mali,5.0,6.0,2014,11
148,2014-11-19,Nigeria,8.0,20.0,2014,11
149,2014-11-19,Senegal,0.0,1.0,2014,11
150,2014-11-19,Sierra Leone,1250.0,6073.0,2014,11
151,2014-11-19,Spain,0.0,1.0,2014,11
152,2014-11-19,United States of America,1.0,4.0,2014,11
153,2014-11-21,Guinea,1214.0,2047.0,2014,11
154,2014-11-21,Liberia,2963.0,7082.0,2014,11
155,2014-11-21,Mali,6.0,6.0,2014,11
156,2014-11-21,Nigeria,8.0,20.0,2014,11
157,2014-11-21,Senegal,0.0,1.0,2014,11
158,2014-11-21,Sierra Leone,1267.0,6190.0,2014,11
159,2014-11-21,Spain,0.0,1.0,2014,11
160,2014-11-21,United States of America,1.0,4.0,2014,11
161,2014-11-26,Guinea,1260.0,2134.0,2014,11
162,2014-11-26,Liberia,3016.0,7168.0,2014,11
163,2014-11-26,Mali,6.0,8.0,2014,11
164,2014-11-26,Nigeria,8.0,20.0,2014,11
165,2014-11-26,Senegal,0.0,1.0,2014,11
166,2014-11-26,Sierra Leone,1398.0,6599.0,2014,11
167,2014-11-26,Spain,0.0,1.0,2014,11
168,2014-11-26,United States of America,1.0,4.0,2014,11
169,2014-12-01,Guinea,1312.0,2155.0,2014,12
170,2014-12-01,Liberia,3145.0,7635.0,2014,12
171,2014-12-01,Mali,6.0,8.0,2014,12
172,2014-12-01,Nigeria,8.0,20.0,2014,12
173,2014-12-01,Senegal,0.0,1.0,2014,12
174,2014-12-01,Sierra Leone,1530.0,7109.0,2014,12
175,2014-12-01,Spain,0.0,1.0,2014,12
176,2014-12-01,United States of America,1.0,4.0,2014,12
177,2014-12-03,Guinea,1327.0,2164.0,2014,12
178,2014-12-03,Liberia,3145.0,7635.0,2014,12
179,2014-12-03,Mali,6.0,8.0,2014,12
180,2014-12-03,Nigeria,8.0,20.0,2014,12
181,2014-12-03,Senegal,0.0,1.0,2014,12
182,2014-12-03,Sierra Leone,1583.0,7312.0,2014,12
183,2014-12-03,Spain,0.0,1.0,2014,12
184,2014-12-03,United States of America,1.0,4.0,2014,12
185,2014-12-10,Guinea,1428.0,2292.0,2014,12
186,2014-12-10,Liberia,3177.0,7719.0,2014,12
187,2014-12-10,Mali,6.0,8.0,2014,12
188,2014-12-10,Nigeria,8.0,20.0,2014,12
189,2014-12-10,Senegal,0.0,1.0,2014,12
190,2014-12-10,Sierra Leone,1768.0,7897.0,2014,12
191,2014-12-10,Spain,0.0,1.0,2014,12
192,2014-12-10,United States of America,1.0,4.0,2014,12
193,2014-12-15,Guinea,1518.0,2394.0,2014,12
194,2014-12-15,Liberia,3290.0,7797.0,2014,12
195,2014-12-15,Mali,6.0,8.0,2014,12
196,2014-12-15,Nigeria,8.0,20.0,2014,12
197,2014-12-15,Senegal,0.0,1.0,2014,12
198,2014-12-15,Sierra Leone,2033.0,8273.0,2014,12
199,2014-12-15,Spain,0.0,1.0,2014,12
200,2014-12-15,United States of America,1.0,4.0,2014,12
201,2014-12-17,Guinea,1525.0,2416.0,2014,12
202,2014-12-17,Liberia,3290.0,7797.0,2014,12
203,2014-12-17,Mali,6.0,8.0,2014,12
204,2014-12-17,Nigeria,8.0,20.0,2014,12
205,2014-12-17,Senegal,0.0,1.0,2014,12
206,2014-12-17,Sierra Leone,2085.0,8356.0,2014,12
207,2014-12-17,Spain,0.0,1.0,2014,12
208,2014-12-17,United States of America,1.0,4.0,2014,12
209,2014-12-22,Guinea,1586.0,2571.0,2014,12
210,2014-12-22,Liberia,3376.0,7830.0,2014,12
211,2014-12-22,Mali,6.0,8.0,2014,12
212,2014-12-22,Nigeria,8.0,20.0,2014,12
213,2014-12-22,Senegal,0.0,1.0,2014,12
214,2014-12-22,Sierra Leone,2556.0,8939.0,2014,12
215,2014-12-22,Spain,0.0,1.0,2014,12
216,2014-12-22,United States of America,1.0,4.0,2014,12
217,2014-12-23,Guinea,1607.0,2597.0,2014,12
218,2014-12-23,Liberia,3376.0,7830.0,2014,12
219,2014-12-23,Mali,6.0,8.0,2014,12
220,2014-12-23,Nigeria,8.0,20.0,2014,12
221,2014-12-23,Senegal,0.0,1.0,2014,12
222,2014-12-23,Sierra Leone,2582.0,9004.0,2014,12
223,2014-12-23,Spain,0.0,1.0,2014,12
224,2014-12-23,United States of America,1.0,4.0,2014,12
225,2014-12-24,Guinea,1607.0,2597.0,2014,12
226,2014-12-24,Liberia,3384.0,7862.0,2014,12
227,2014-12-24,Mali,6.0,8.0,2014,12
228,2014-12-24,Nigeria,8.0,20.0,2014,12
229,2014-12-24,Senegal,0.0,1.0,2014,12
230,2014-12-24,Sierra Leone,2582.0,9004.0,2014,12
231,2014-12-24,Spain,0.0,1.0,2014,12
232,2014-12-24,United States of America,1.0,4.0,2014,12
